Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02043013


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2043013;1;01/12/2000;1;75,4;239,6;18;22;1;1;1;;0;7,1;7,5;9,0;17,0;40,1;0,3;3,9;0,0;0,0;0,0;14,1;0,0;0,2;0,1;0,2;0,0;0,0;75,4;4,9;0,0;2,3;1,5;0,1;0,0;0,0;2,1;8,0;16,3;0,4;7,2;21,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043013;2;01/05/1941;1;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;11,6;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043013;2;01/06/1941;1;0,0;0,0;1;;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043013;2;01/07/1941;1;15,4;38,6;19;9;1;1;0;;0;0,0;0,0;0,0;0,0;5,8;1,2;2,3;0,0;2,7;0,7;1,3;0,0;0,0;0,0;0,0;7,8;0,0;1,4;15,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043013;2;01/08/1941;1;9,2;9,2;18;1;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043013;2;01/09/1941;1;32,0;117,3;29;15;1;1;0;;0;0,3;0,4;29,8;2,1;0,0;0,0;0,0;0,0;0,0;0,0;9,6;1,0;2,2;4,7;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,2;1,9;9,6;1,6;2,4;0,0;32,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043013;2;01/10/1941;1;22,6;117,3;3;13;1;1;0;;0;0,7;0,2;22,6;0,0;18,2;0,0;0,0;10,4;21,4;0,0;0,0;0,0;0,0;0,0;1,2;6,0;19,0;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,8;2,2;0,0;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043013;2;01/11/1941;1;35,8;172,3;30;15;1;1;0;;0;21,6;0,0;0,0;0,0;0,3;3,7;29,8;6,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;0,2;0,0;0,0;0,0;0,5;6,0;0,0;0,0;14,2;21,2;14,8;4,2;35,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043013;2;01/12/1941;1;42,4;243,6;20;24;1;1;0;;0;1,5;22,6;3,5;28,0;3,8;0,0;0,0;1,3;0,0;21,2;1,6;0,0;5,2;2,2;5,1;0,0;0,0;2,2;2,3;42,4;16,0;0,0;32,6;16,6;6,0;10,0;0,6;1,1;0,6;9,0;8,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043013;2;01/01/1942;1;50,7;323,7;4;21;1;1;0;1494,80004882813;1;20,2;1,3;0,0;50,7;17,4;11,6;14,2;5,6;47,2;27,4;4,1;0,0;0,0;0,0;24,2;0,6;33,4;0,1;0,0;6,8;21,2;12,6;2,0;6,0;16,4;0,7;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
